id_usuario,id_pregunta,habilidad,resultado_correcto
usuario_1,110,Programacion,0
usuario_1,303,SistemasDigitales,1
usuario_1,209,RedesNeuronales,1
usuario_1,203,RedesNeuronales,1
usuario_1,107,Programacion,1
usuario_1,207,RedesNeuronales,1
usuario_1,204,RedesNeuronales,1
usuario_1,304,SistemasDigitales,0
usuario_1,309,SistemasDigitales,1
usuario_1,305,SistemasDigitales,0
usuario_1,104,Programacion,1
usuario_1,206,RedesNeuronales,0
usuario_1,109,Programacion,1
usuario_1,108,Programacion,1
usuario_1,103,Programacion,1
usuario_1,206,RedesNeuronales,0
usuario_1,305,SistemasDigitales,0
usuario_1,109,Programacion,1
usuario_1,207,RedesNeuronales,0
usuario_1,303,SistemasDigitales,0
usuario_1,202,RedesNeuronales,0
usuario_1,202,RedesNeuronales,0
usuario_1,308,SistemasDigitales,0
usuario_1,105,Programacion,1
usuario_1,102,Programacion,1
usuario_1,305,SistemasDigitales,1
usuario_1,310,SistemasDigitales,1
usuario_1,106,Programacion,1
usuario_1,209,RedesNeuronales,0
usuario_1,301,SistemasDigitales,1
usuario_1,309,SistemasDigitales,0
usuario_1,203,RedesNeuronales,0
usuario_1,210,RedesNeuronales,1
usuario_1,106,Programacion,0
usuario_1,103,Programacion,1
usuario_1,303,SistemasDigitales,1
usuario_1,307,SistemasDigitales,0
usuario_1,206,RedesNeuronales,0
usuario_1,308,SistemasDigitales,1
usuario_1,102,Programacion,1
usuario_2,305,SistemasDigitales,1
usuario_2,210,RedesNeuronales,1
usuario_2,301,SistemasDigitales,1
usuario_2,302,SistemasDigitales,0
usuario_2,201,RedesNeuronales,1
usuario_2,204,RedesNeuronales,1
usuario_2,310,SistemasDigitales,1
usuario_2,107,Programacion,1
usuario_2,303,SistemasDigitales,0
usuario_2,308,SistemasDigitales,0
usuario_2,307,SistemasDigitales,1
usuario_2,308,SistemasDigitales,0
usuario_2,201,RedesNeuronales,0
usuario_2,207,RedesNeuronales,1
usuario_2,110,Programacion,0
usuario_2,307,SistemasDigitales,1
usuario_2,301,SistemasDigitales,0
usuario_2,307,SistemasDigitales,0
usuario_2,303,SistemasDigitales,1
usuario_2,208,RedesNeuronales,0
usuario_2,310,SistemasDigitales,1
usuario_2,103,Programacion,1
usuario_2,208,RedesNeuronales,1
usuario_2,207,RedesNeuronales,1
usuario_2,208,RedesNeuronales,1
usuario_2,108,Programacion,1
usuario_2,103,Programacion,1
usuario_2,207,RedesNeuronales,1
usuario_2,303,SistemasDigitales,1
usuario_2,206,RedesNeuronales,1
usuario_2,207,RedesNeuronales,1
usuario_2,104,Programacion,1
usuario_2,305,SistemasDigitales,1
usuario_2,301,SistemasDigitales,0
usuario_2,304,SistemasDigitales,0
usuario_2,302,SistemasDigitales,0
usuario_2,202,RedesNeuronales,0
usuario_2,101,Programacion,1
usuario_2,103,Programacion,1
usuario_2,201,RedesNeuronales,1
usuario_3,205,RedesNeuronales,1
usuario_3,105,Programacion,1
usuario_3,108,Programacion,1
usuario_3,202,RedesNeuronales,0
usuario_3,101,Programacion,1
usuario_3,108,Programacion,1
usuario_3,107,Programacion,1
usuario_3,101,Programacion,1
usuario_3,207,RedesNeuronales,0
usuario_3,306,SistemasDigitales,0
usuario_3,106,Programacion,1
usuario_3,104,Programacion,1
